LUID	Date	Hour	Instances
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	11	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	12	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	13	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	14	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	15	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	16	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	17	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	18	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	19	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	20	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	21	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	22	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	23	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-03-01	0	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-03-01	1	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-03-01	2	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-03-01	3	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-03-01	4	42
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-26	20	12
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-26	21	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-26	22	118
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-26	23	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	0	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	1	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	2	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	3	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	4	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	5	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	6	120
